  n	    CT
192.583	21.478952
198.617	21.596479
204.850	20.909920
214.533	21.964104
222.750	22.010488
230.383	21.404489
252.150	21.232004
260.767	21.799908
261.950	22.078045
276.367	21.792001
281.333	22.173084
283.517	22.369485
302.200	22.291335
315.100	22.799018
316.183	23.547710
317.200	23.098957
329.433	23.212288
