  n	    CQ
300.733	0.697951
301.300	0.701875
301.717	0.707160
303.683	0.703522
305.733	0.705911
344.817	0.707994
345.100	0.712156
345.633	0.711571
346.600	0.709347
346.750	0.723879
347.550	0.710418
349.433	0.744450
389.833	0.714415
390.733	0.714883
392.150	0.703356
393.617	0.702393
395.200	0.703782
417.350	0.730649
420.733	0.716403
421.500	0.701392
424.467	0.711155
427.917	0.703697
460.900	0.718784
463.317	0.711871
465.350	0.715665
466.183	0.715672
472.517	0.718557
