  n	    CT
204.817	10.215776
210.450	10.661667
211.583	10.590431
213.850	10.436242
227.100	10.315874
244.017	10.392168
244.967	10.556925
251.517	11.142556
255.450	11.129033
258.467	11.114384
261.200	11.289412
282.550	11.691512
290.417	11.363293
290.667	11.206968
291.700	11.512112
297.067	11.170958
297.450	11.171330
300.733	11.079918
300.733	11.302290
301.300	11.485943
301.717	11.491147
303.683	11.492731
304.567	11.263258
305.733	11.569191
318.450	11.569491
321.117	11.621681
325.383	11.620460
326.150	11.673495
343.400	11.572433
344.817	11.724604
345.100	11.805010
345.633	11.809475
346.600	11.833157
346.750	11.430744
347.550	11.780111
349.433	12.021160
362.333	11.802827
364.833	11.561983
370.200	11.759454
374.050	12.022993
389.833	12.010952
390.733	11.900451
392.150	11.481004
393.617	11.716345
393.933	11.904016
395.200	11.738329
402.383	12.296424
420.733	12.444208
421.500	11.997079
424.467	12.415361
427.917	12.295193
437.633	12.218327
453.417	12.320927
460.900	12.500431
463.317	12.545375
465.350	12.461781
466.183	12.422296
472.517	12.612638
