  n	    CQ
306.733	1.297488
309.017	1.258438
309.200	1.274745
310.583	1.302928
310.717	1.268452
367.883	1.153566
368.500	1.146486
368.933	1.154099
369.483	1.158046
370.600	1.154208
407.400	1.102221
407.883	0.936592
407.917	0.977483
408.600	1.115567
408.967	1.047085
421.300	0.998068
421.650	1.006520
423.233	0.973987
426.600	1.024750
429.450	0.975989
450.583	1.063924
451.033	1.043456
452.317	1.042373
452.733	1.051550
453.483	1.060390
