Time (s),ESC signal (?s),Servo 1 (?s),Servo 2 (?s),Servo 3 (?s),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,Percent throtle,Thrust (gf),,Prop Diam (m),Mechanical Power(W),Motor & Power Efficiency(%)
1.5,1200,,,,0.406549753,12.26374576,1.366416154,10053,0,16.61341346,2.49536539,,52.17391304,41.45653745,,0.1524,2.173364349,0.130819856
4.5,1400,,,,0.923344949,12.20499913,3.575406674,14698,0,43.48029547,2.165463232,,60.86956522,94.15498147,,0.1524,7.438886855,0.171086392
7.5,1600,,,,1.460535918,12.12880031,6.238181694,18044,0,75.58920098,1.970297502,,69.56521739,148.9332155,,0.1524,14.79893113,0.195781023
10.5,1800,,,,2.348943287,11.97738879,11.40267118,22212,0,136.4435566,1.755491835,,78.26086957,239.5255553,,0.1524,30.18358238,0.22121662
13.5,2000,,,,2.672099982,11.88213445,13.89174526,23712,0,164.8847143,1.652538635,,86.95652174,272.4783674,,0.1524,36.62191435,0.222106182
16.5,2200,,,,2.645767429,11.85265749,13.75942639,23617,0,162.9378097,1.655804684,,95.65217391,269.7931943,,0.1524,36.08190719,0.221445883
19.5,2300,,,,2.573338093,11.83311875,13.68174329,23529,0,161.757686,1.622225633,,100,262.4074575,,0.1524,34.6104511,0.213964801
22.5,2200,,,,2.648115302,11.81225735,13.8116828,23444,0,162.9234808,1.657419812,,95.65217391,270.0326107,,0.1524,36.12994686,0.221760219
25.5,2000,,,,2.660406037,11.79669558,13.74509877,23390,0,161.9604365,1.675013486,,86.95652174,271.2859169,,0.1524,36.38177415,0.224633713
28.5,1800,,,,2.243023838,11.84674724,11.03195295,21890,0,130.5637318,1.751824731,,78.26086957,228.7247774,,0.1524,28.16519875,0.215719927
31.5,1600,,,,1.436847928,11.95904761,6.076453771,17824,0,72.65387167,2.016653903,,69.56521739,146.5177128,,0.1524,14.44036582,0.198755627
34.5,1400,,,,0.901898499,12.03185186,3.508724857,14641,0,42.11149111,2.18391826,,60.86956522,91.96805219,,0.1524,7.18122415,0.17052885
37.5,1200,,,,0.435592704,12.09380542,1.356893784,10012,0,16.29186269,2.726397496,,52.17391304,44.41809425,,0.1524,2.410365385,0.147949036
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,254.4564545,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,220.8157966,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,200.9144307,,,,,,,
,,,,,,,,,,,179.0103486,,,,,,,
Propeller,6030R_GF,,,,,,,,,,168.5120438,,,,,,,
Battery,Turnigy,3cell,11.1V,2700mah,30C,,,,,,168.8450881,,,,,,,
Motor,RS2205-2300KV,,,,,,,,,,165.4209779,,,,,,,
ESC,Afro,30A,,,,,,,,,169.0097854,,,,,,,
,,,,,,,,,,,170.8038408,,,,,,,
,,,,,,,,,,,178.6364081,,,,,,,
,,,,,,,,,,,205.6414681,,,,,,,
,,,,,,,,,,,222.6976857,,,,,,,
,,,,,,,,,,,278.0151729,,,,,,,
