  n	    CQ
190.250	1.971829
190.617	1.917231
199.633	1.711890
202.233	1.659653
202.867	1.671710
203.167	1.837586
203.417	1.706620
204.367	1.793145
204.817	1.842814
211.333	1.741236
286.067	1.690172
287.883	1.667278
288.133	1.684464
290.033	1.680968
291.317	1.716617
311.317	1.757918
315.100	1.644385
316.183	1.701059
317.433	1.742249
317.650	1.882465
317.783	1.946347
319.767	1.879290
324.433	1.904660
329.433	1.687452
333.933	1.844283
