  n	    CQ
325.633	1.362991
327.583	1.348319
327.650	1.366231
330.183	1.351919
360.800	1.371691
361.750	1.375683
362.300	1.371317
363.400	1.368536
380.150	1.372215
383.300	1.371016
386.883	1.381464
448.600	1.326189
450.250	1.329246
450.600	1.306710
451.567	1.330917
453.717	1.322712
